GEOID10,Affordable_Solar,Community_Distributed_Generation,Expected_KWh_Annual_Production,Total_Nameplate_kW_DC,Project_Cost,cost_Kw,Project_Number
36001000200,0,0,87768.03,74.79,23172.45,4974.02337488,16
36001000300,0,0,32221.91,27.45,110980.0,4042.98724954,1
36001000501,0,0,782892.6,666.97,103380.529677,4891.02119775,31
36001001100,0,0,734729.95,625.94,83855.163871,4502.37033132,31
36001001700,0,0,948976.87,808.55,31547.0469919,4847.34512097,123
36001002000,1,0,1294263.03,1102.62,56843.696,4919.77363067,75
36001002500,0,0,1425957.36,1214.8,143362.892903,4859.6064987,31
36001013000,0,0,1334749.98,1137.18,43494.796015,4786.42474015,133
36001013100,0,0,14790.38,12.6,46620.0,3700.0,1
36001013300,3,0,1512258.11,1288.39,66062.1297059,5164.4656028,102
36001013507,0,0,3470035.46,2956.29,72301.9469841,5091.23811102,189
36001013602,0,0,3510507.03,2990.65,160852.053611,5690.13273193,72
36001013707,1,0,1281003.36,1091.35,53689.4124211,5101.55628205,95
36001013902,2,0,5677758.39,4837.17,65243.1934337,5010.53926714,332
36001014203,0,0,1259998.69,1073.5,34022.9221379,4783.33605766,145
36001014301,0,0,5723209.57,4875.65,253360.887188,4143.8911401,64
36001014302,0,0,1045410.16,890.66,54291.736338,4877.66703072,71
36001014401,0,0,1568548.4,1336.29,74691.1625333,4746.75034018,75
36001014501,1,0,2967568.4,2528.17,50555.5845,4818.97018558,200
36001014502,0,0,254265.47,216.62,38161.272963,4844.02897123,27
36001014607,1,0,4330508.19,3689.34,51588.9847581,4971.89479041,248
36001014608,1,0,2121580.82,1807.53,47028.6163483,4912.87841769,178
36001014612,3,0,1411272.56,1202.35,44421.3304444,5197.59905425,135
36001014700,0,0,31130.23,26.52,45955.0,3475.69444444,2
36001014801,1,0,701766.11,597.86,43232.8371429,5269.26745819,70
36001014802,2,0,430249.99,366.56,38076.2729412,5462.31534673,51
36001014803,2,0,513907.17,437.82,37049.1450909,4864.56508438,55
36003950100,0,0,46965.34,40.01,66142.0633333,5866.36727686,3
36003950300,0,0,68170.76,58.08,43395.245,5149.19116819,6
36003950400,0,0,44277.25,37.72,24947.6,3241.29713137,5
36003950500,1,0,353739.03,301.36,80564.5415385,4304.56831329,13
36003950600,0,0,21434.32,18.26,20585.0,3475.56980057,3
36003950700,0,0,23406.36,19.94,22108.5,4524.88690476,4
36003950800,0,0,143085.23,121.9,45618.3738462,4658.87939154,13
36003950900,1,0,19503.35,16.62,35442.0,4220.3377367,2
36003951000,0,0,381409.95,324.93,79433.4953333,4441.72087982,15
36003951100,0,0,3591.95,3.06,27140.0,8869.28104575,1
36003951200,0,0,67190.6,57.25,33689.15,4006.42687241,5
36003951300,0,0,98393.62,83.82,28160.175,3420.00445667,10
36005001600,0,0,468389.13,399.05,27173.4653846,4826.76515168,65
36005002701,0,0,424781.0,361.88,158791.011579,6996.25374092,19
36005006100,0,0,1174357.66,1000.45,165976.336774,5594.58665901,31
36005006800,0,0,305262.97,260.07,67853.6763158,4659.27100431,19
36005007300,0,0,594028.78,506.06,190437.464615,5675.7107479,13
36005009300,0,9,1519574.63,1294.53,257177.254118,4417.48261024,17
36005012701,0,0,278628.52,237.37,64326.348125,4820.10470115,16
36005014500,0,0,409293.4,348.7,91507.7909524,5157.7396432,21
36005015800,0,0,749365.37,638.49,29152.5471028,4891.19356093,107
36005021001,0,0,762744.81,649.79,111308.048,4874.6489941,30
36005021100,0,0,1317014.43,1121.97,218919.099091,4408.69505259,22
36005024300,0,0,115720.67,98.59,36798.5907143,5179.72470113,14
36005026500,0,0,785593.6,669.25,209915.479375,5227.72837141,16
36005028400,0,0,869430.42,740.71,52528.9730303,4840.49834017,66
36005028900,0,0,171667.05,146.24,49029.924,5521.38252668,15
36005035000,0,0,742224.88,632.37,27782.1125263,4547.73385244,95
36005035100,0,0,270095.88,230.1,75399.5766667,5112.99974672,15
36005036100,0,0,354754.4,302.23,49993.6866667,5173.70725961,24
36005037600,0,0,385044.16,328.02,52144.4239286,5266.86263308,28
36005039500,0,0,310152.01,264.21,138067.985714,7777.33966621,14
36005039700,0,0,173816.36,148.08,151715.21,4958.40693472,5
36005042600,1,0,734359.01,625.65,37441.6295775,4661.54068711,71
36005045102,0,0,95917.98,81.73,38123.8918182,4866.0358307,11
36005046201,0,0,108966.38,92.84,37053.4090909,4178.60490152,11
36005050400,0,0,166504.51,141.85,39321.9138889,4893.33748792,18
36007010200,0,0,66814.97,56.92,46954.464,4080.69881244,5
36007011901,0,0,255035.52,217.27,74683.9533333,5172.18339754,15
36007011902,0,0,58058.13,49.46,43879.56,4616.92450053,5
36007011903,0,0,14115.43,12.03,31900.0,2651.70407315,1
36007012000,0,0,16903.3,14.4,62695.0,4353.81944444,1
36007012103,1,0,217505.5,185.29,39173.6669565,4854.18721491,23
36007012201,0,0,630120.8,536.82,70486.1891892,4847.87487475,37
36007012202,0,0,37463.11,31.92,38177.94,4946.87517701,4
36007012300,0,0,35485.19,30.23,40438.6,6852.20407865,5
36007012400,0,0,32923.87,28.05,34714.6,6187.51549414,5
36007012500,0,0,82877.79,70.6,33900.7,5116.80000182,10
36007012600,0,0,252334.45,214.97,31895.2571429,5251.12918408,35
36007012701,0,0,247128.54,210.53,245312.5,2889.85528794,2
36007012702,1,0,96548.32,82.26,25161.64,4688.3111964,15
36007012900,0,0,98244.53,83.7,32789.7916667,4999.65305126,12
36007013304,0,0,383704.82,326.9,25885.4107018,4568.44973512,57
36007014301,0,0,768935.61,655.08,52497.0484,4626.87712305,50
36009940300,0,0,8451.65,7.2,42488.0,5901.11111111,1
36009960200,0,0,96151.59,81.92,32336.018,4388.21663007,10
36009960300,0,0,96096.43,81.88,35076.4444444,4064.31692974,9
36009960400,0,0,112172.15,95.56,48504.2222222,4286.11254505,9
36009960500,1,0,302434.0,257.67,68035.240625,4027.59093886,16
36009960600,0,0,79169.64,67.45,27088.0636364,4626.11157902,11
36009960702,0,0,49389.33,42.08,74762.6666667,4407.32106787,3
36009960800,0,0,163791.77,139.55,40442.8626667,4274.41988748,15
36009961100,0,0,112459.74,95.82,31838.9581818,3846.11169003,11
36009961300,0,0,8011.46,6.83,22512.0,3296.04685212,1
36009961400,1,0,166241.55,141.64,37450.8325,4083.44389043,16
36009961800,0,0,115144.3,98.09,31159.7690909,3638.130378,11
36009962200,1,0,342872.78,292.1,81831.8333333,3850.41269474,12
36011040100,0,0,395832.94,337.24,33125.0144118,3592.4976767,34
36011040200,0,0,264173.86,225.08,33340.4663636,3468.75184277,22
36011040300,0,0,174156.77,148.38,47857.9469231,4374.50354633,13
36011040400,1,0,516352.28,439.89,80124.172,4072.57715933,20
36011040800,0,0,505184.34,430.37,43005.3623333,4426.72834159,30
36011040900,0,0,170429.85,145.19,30998.0236842,4286.82935181,19
36011041000,0,0,399926.1,340.71,35277.8718421,4104.65437787,38
36011041100,0,0,69561.76,59.26,34313.2483333,3838.77310772,6
36011041200,0,0,176171.1,150.08,29773.755,4089.16531454,20
36011041700,0,0,789768.95,672.85,36744.5469565,4150.28199363,69
36013030800,0,0,280271.92,238.77,41624.3116667,4109.98288324,24
36013035100,0,0,90403.29,77.02,46333.8125,4575.86425487,8
36013035400,1,0,233339.43,198.81,43264.6204348,4620.62526895,23
36013035901,3,0,446299.85,380.22,31006.6755319,3728.56870243,47
36013036100,0,0,4838295.04,4121.78,330623.417317,3870.58029265,41
36013036300,0,0,69197.87,58.95,27547.5714286,3295.20301163,7
36013036401,0,0,131979.52,112.43,86849.0625,5853.14767295,8
36013036402,0,0,146976.51,125.22,35960.6238462,4035.51588987,13
36013036500,0,0,45116.54,38.44,27539.2,4700.94294925,6
36013036600,0,0,39863.61,33.96,33512.025,4604.25520436,4
36013036700,1,0,172008.64,146.54,84535.16875,5028.11792626,8
36013036800,0,0,169322.89,144.25,27849.7571429,4458.36517224,21
36013036902,0,0,338963.91,288.77,42005.6178571,4030.89623621,28
36013037100,0,0,150515.63,128.23,61285.11,5244.32802174,12
36013037400,0,0,62509.33,53.27,36547.602,3670.90467077,5
36013037600,1,0,319595.56,272.27,40418.435,3514.12793461,20
36015001100,0,0,6162.66,5.25,23205.0,4420.0,1
36015010100,0,0,255895.95,218.0,34924.6144,5070.31221888,25
36015010200,0,0,18734.49,15.96,32228.5,4290.36356209,2
36015010300,0,0,661118.42,563.22,114452.071,4668.10780958,20
36015010700,0,0,419280.39,357.21,33931.7425581,4237.88535975,43
36015010900,0,0,34968.7,29.79,26966.6,4522.84709997,5
36015011000,0,0,175745.01,149.72,31150.1545455,5028.54299235,22
36015011200,0,0,159065.87,135.51,32224.6116667,4467.15409008,18
36017970100,0,0,326362.73,278.03,120884.68625,4763.5825804,8
36017970200,0,0,65729.18,56.0,30653.20875,4617.36498955,8
36017970300,0,0,126123.24,107.45,35178.3975,5586.15789671,16
36017970602,0,0,58640.36,49.96,35664.3216667,4338.12256568,6
36017970700,0,0,112309.48,95.68,36627.0433333,4868.36593982,12
36017970801,1,0,65358.24,55.68,38621.1266667,4647.1821532,6
36017970802,0,0,609023.41,518.83,115652.010625,4521.88731273,16
36017970900,0,0,69596.97,59.29,32852.74875,4880.25242772,8
36017971000,0,0,97076.57,82.7,49309.6633333,4059.41899219,6
36019100100,0,0,113991.6,97.11,44057.3636364,5282.90959667,11
36019100200,0,0,526192.59,448.26,46926.1162791,4776.98144925,43
36019100300,0,0,94529.33,80.54,44090.74875,4254.92896567,8
36019100400,0,0,140532.13,119.73,58427.3088889,4961.42449447,9
36019101000,0,0,717721.0,611.44,52056.3467347,4487.97604695,49
36019101700,0,0,118980.43,101.36,36178.9615385,5466.26179467,13
36019101800,0,0,292951.73,249.56,40213.9074074,4847.22127467,27
36019101900,1,0,301769.61,257.09,45109.3744444,5128.43402769,27
36021000100,0,0,172720.0,147.15,54011.79875,6251.79973518,16
36021000200,1,0,1123089.06,956.8,75789.9509804,5615.90897184,51
36021000300,0,0,265558.99,226.25,55787.8822222,6855.24349307,27
36021000401,0,0,316860.49,269.94,61038.3184,6284.83565482,25
36021000402,0,0,1689010.17,1438.91,61097.0073636,5040.70313162,110
36021000500,0,0,424660.15,361.79,40099.815,5398.2155209,46
36021000600,0,0,41501.12,35.36,38348.0,5988.75389278,5
36021000700,0,0,753166.28,641.68,55417.6879688,5741.36571523,64
36021000800,0,0,611833.58,521.24,64449.4186,5852.91764762,50
36021000900,0,0,363746.04,309.9,44934.4484444,6991.89809014,45
36021001000,0,0,2798285.46,2383.97,65431.825615,5540.3592537,187
36021001400,0,0,55256.17,47.08,35697.0016667,5275.63154247,6
36021001500,0,0,743761.47,633.64,104032.929286,5443.96089308,28
36021001600,0,0,273869.76,233.32,53287.976087,5610.89292249,23
36021001700,0,0,104070.3,88.67,59331.67,6482.20876292,10
36021001800,0,0,639243.9,544.6,64889.6007843,5666.10913273,51
36021002000,0,1,919131.94,783.05,55418.7074603,5122.89779104,63
36023970100,0,0,107406.37,91.5,47922.0,4523.44240242,6
36023970200,1,0,597891.87,509.39,49658.0768182,4065.1805064,44
36023970400,0,0,71908.27,61.26,29032.23125,4130.7614145,8
36023970900,3,0,1061138.44,904.04,35711.4043,4181.44404556,100
36023971100,0,0,133266.06,113.53,36149.5453333,5389.99651175,15
36023971200,0,0,173438.38,147.77,33082.6877778,3964.87440309,18
36025970100,0,0,12548.35,10.69,32200.5,6819.09525503,2
36025970200,0,0,70702.72,60.23,33465.0877778,5434.12478161,9
36025970300,0,0,58323.43,49.69,33399.91875,5793.24054969,8
36025970400,0,0,54043.6,46.04,42819.5,5477.69112181,6
36025970500,0,0,3732.81,3.18,11805.0,3712.26415094,1
36025970600,0,0,71350.69,60.78,47417.945,6827.99325067,8
36025970700,0,0,104859.14,89.34,52250.2566667,5140.5490371,9
36025970800,0,0,267533.39,227.94,43736.6488,5447.47777493,25
36025971000,0,0,249189.79,212.29,103390.214545,6641.39349813,11
36025971100,0,0,71428.16,60.85,78787.022,6407.015236,5
36025971200,0,0,205768.29,175.3,36999.412381,5398.4122284,21
36025971300,0,0,417250.82,355.46,102768.905455,5024.55758588,11
36025971400,0,0,275987.4,235.13,120090.5825,4644.38437267,8
36027010000,0,0,236825.73,201.76,61370.7631579,6030.86016526,19
36027020005,0,0,727008.42,619.42,42012.54,4517.19028967,68
36027030000,0,0,851448.35,725.42,51728.5668919,5345.94133563,74
36027040001,0,0,272749.95,232.36,49096.6604167,5112.62297179,24
36027040003,1,0,334276.75,284.79,50763.1889655,5205.02195816,29
36027050203,0,0,3413740.3,2908.38,41948.2465231,4747.74750212,325
36027050205,1,0,508597.87,433.31,42736.4457447,4717.47535071,47
36027060202,0,0,12665.74,10.79,14403.0,3014.7605225,2
36027060400,0,0,1110709.69,946.31,38723.6007965,4641.50029179,113
36027070102,1,0,1115018.89,949.98,41338.2409259,4855.84216892,108
36027080104,0,0,39200.38,33.4,60382.95,3593.72746186,2
36027080201,0,0,3071036.58,2616.46,36400.9060479,4685.61470245,334
36027100000,0,0,455209.28,387.8,71111.8697143,6294.34988728,35
36027110003,0,0,122654.54,104.49,44146.8327273,4634.40085015,11
36027110005,0,0,393254.0,335.03,45087.7394595,5221.38972457,37
36027120000,0,0,449174.58,382.67,42066.682,5125.38045562,45
36027130003,0,0,1184470.3,1009.09,47222.7643925,4912.53942571,107
36027130005,0,0,439759.19,374.65,52196.8897297,5261.95711891,37
36027150003,1,0,133418.65,113.66,43044.3707692,5114.55498161,13
36027150004,1,0,462447.17,393.99,45860.5481395,5101.52122911,43
36027150005,0,0,1844912.54,1571.83,44608.0505085,5023.76252364,177
36027160003,0,0,13945.22,11.88,95000.0,7996.63299663,1
36027160004,2,2,2063826.7,1758.26,61466.9951095,5793.20925908,137
36027170000,1,0,1012219.82,862.37,53214.3089888,5835.61929397,89
36027180001,0,0,1433623.68,1221.45,50668.1988136,4923.63406314,118
36027190204,0,0,4160713.41,3544.8,38603.7505502,4639.02252806,418
36027200001,1,0,332823.56,283.53,54775.1223077,5550.07991935,26
36027210101,1,0,1717169.47,1463.05,30282.5670698,4639.7128339,215
36027221100,0,0,2954799.43,2517.35,49972.1243256,4801.48192407,215
36027410000,0,0,8789.71,7.49,69640.0,9297.73030708,1
36029000800,0,0,530274.0,451.75,129323.308462,4221.05694424,13
36029001402,0,0,438514.94,373.58,147185.12,5514.1280374,9
36029002400,0,0,250650.05,213.54,161069.844,4350.16923572,5
36029003301,0,0,305744.24,260.48,165245.528571,5653.16415603,7
36029003500,0,0,785572.46,669.25,242792.288889,5093.84564336,9
36029004401,0,0,682582.09,581.51,127782.233333,4659.47794866,18
36029004500,0,0,426074.56,362.99,70790.2892308,5243.88288672,26
36029004900,2,0,374741.39,319.25,43980.0412121,4176.41289278,33
36029005700,0,0,970712.89,826.96,199561.025,4438.19440003,16
36029006100,3,0,1088413.76,927.25,101035.342121,4521.72640239,33
36029006602,0,0,296183.31,252.32,112010.403846,5414.12687226,13
36029007101,0,0,871306.21,742.32,78451.8423529,4085.89367934,34
36029007102,0,0,347779.44,296.28,216315.05,5513.15123368,5
36029007304,0,0,747177.34,636.57,41531.9039706,4107.29616429,68
36029008002,0,0,273791.15,233.25,46233.184,4291.8998881,25
36029008101,0,1,2328351.6,1983.59,113031.357297,4497.4622214,74
36029008700,0,0,793808.15,676.26,126304.819565,4448.84888875,23
36029009006,0,0,2016526.85,1717.99,55775.3648175,4042.76017788,137
36029009010,0,0,1188989.61,1012.98,32907.94624,3976.42647159,125
36029009106,0,0,410296.99,349.55,37737.6941176,3745.22159353,34
36029009401,1,0,684324.11,583.03,38133.7219697,4196.61384596,66
36029009800,0,0,424683.57,361.81,67742.6417241,4670.54278405,29
36029010102,1,0,857895.12,730.88,92274.8964516,3959.88224554,31
36029010700,0,0,7629.96,6.5,20800.0,3200.0,1
36029010808,0,0,614642.6,523.63,102156.278,4446.55446791,25
36029011800,1,0,1013609.68,863.53,78645.7839583,4425.64391112,48
36029013001,0,0,475747.96,405.3,147052.175833,4235.7557506,12
36029013101,0,0,27608.72,23.52,151424.0,6438.0952381,1
36029013102,0,0,266329.02,226.92,30638.5134615,3475.85572681,26
36029013400,0,0,798923.72,680.68,48973.540303,4155.36854851,66
36029013600,0,0,823394.76,701.51,61940.5723333,4538.36746087,60
36029013800,0,0,46401.89,39.53,24852.1666667,3736.60031388,6
36029014000,0,0,278394.94,237.18,39260.5037037,4665.46436586,27
36029014102,0,0,386716.88,329.46,72951.956,4635.50099705,25
36029014204,0,0,755930.7,644.04,53809.9933333,4493.10220234,63
36029014208,0,0,50287.31,42.84,279552.0,6525.49019608,1
36029014701,0,0,298498.14,254.3,37415.54125,4595.36003152,32
36029014702,0,0,329137.71,280.4,37122.7625,4174.82510819,32
36029014801,1,0,655316.13,558.3,49237.9454348,3924.94383975,46
36029014903,0,0,2405943.55,2049.66,175721.521026,3748.99233534,39
36029015001,0,0,21516.49,18.33,14694.9375,3206.51348974,4
36029015002,0,0,93461.13,79.62,32278.4125,3690.13540275,8
36029015003,0,0,137015.31,116.73,45246.395,4046.75076207,10
36029015101,0,0,66216.31,56.41,38234.3333333,4306.28225863,6
36029015102,0,0,132015.91,112.47,34926.9166667,3882.55473531,12
36029015201,0,0,80912.81,68.93,28427.768,4283.69736035,10
36029015301,0,0,366630.14,312.35,42976.9283871,4223.62987884,31
36029015402,0,0,250040.85,213.03,63197.7864286,4183.43345927,14
36029015501,0,0,352058.07,299.92,65949.0875,4599.48751713,24
36029015600,0,0,14367.8,12.24,79560.0,6500.0,1
36029015700,1,0,361613.16,308.06,59361.8177273,4825.54476264,22
36029015800,1,0,172975.89,147.38,41166.9428571,4389.47303423,14
36029016200,0,0,81300.16,69.27,32559.21,4221.86559902,9
36029016300,0,0,192715.17,164.18,98835.8055556,5412.19278587,9
36029016400,0,0,227155.65,193.52,193924.0,5400.92532258,5
36029016500,0,0,4789.27,4.08,13056.0,3200.0,1
36029016700,0,0,492167.65,419.3,82588.7144444,4124.5668693,18
36029016900,1,0,249378.79,212.46,42781.18,4904.28992178,26
36029017502,0,0,102511.45,87.33,43749.9355556,4747.09254941,9
36029940000,0,0,78113.19,66.55,30790.4042857,3238.07962008,7
36031960100,0,0,50193.4,42.76,22573.75,5718.28171499,8
36031960200,0,0,126414.34,107.69,30065.3333333,5830.20508551,18
36031960300,0,0,154313.02,131.47,35611.1028571,4199.89410516,14
36031960598,0,0,22854.66,19.47,52244.0,8063.63563168,3
36031960700,0,0,151988.8,129.48,74923.4933333,6104.20703967,12
36031960800,0,0,78130.79,66.56,35699.5375,4923.13166688,8
36031960900,3,0,640897.84,545.99,30791.9125,4823.59965332,76
36031961000,0,0,21727.78,18.51,39432.5,4276.27680312,2
36031961100,0,0,47205.97,40.22,30360.8571429,6300.80011807,7
36031961200,0,1,349035.45,297.35,88263.3636364,4181.56511932,11
36031961300,0,0,124303.79,105.9,24739.1033333,3947.04753618,15
36031961400,0,0,168785.29,143.79,57979.8316667,5207.26434515,12
36033940000,0,0,84798.2,72.24,169000.0,2339.42414175,1
36033950100,0,0,139041.35,118.46,50708.087,4463.9380567,10
36033950200,0,0,18476.24,15.74,32462.5,4240.07457386,2
36033950300,0,0,153167.36,130.49,36494.626,4644.4826569,15
36033950400,0,0,327448.54,278.96,45096.4558333,3998.20806545,24
36033950600,0,0,6103.97,5.2,18735.6,3603.0,1
36033950700,0,0,4812.74,4.1,24050.0,5865.85365854,1
36033950800,1,0,190403.9,162.21,24377.7780769,4246.70889265,26
36033951000,0,0,317455.62,270.45,27168.652619,4341.65967671,42
36033951100,0,0,30871.99,26.3,47687.1166667,5271.62563667,3
36035970100,0,0,289017.0,246.24,40114.4141379,5488.88872586,29
36035970200,0,0,452039.92,385.1,59288.7391667,4543.22243957,24
36035970500,2,0,760466.36,647.89,42347.4887931,4577.35877116,58
36035970600,2,0,3889143.25,3313.35,65764.0133175,4887.41551178,211
36035971400,0,0,333499.71,284.13,46612.75,5006.72980002,32
36035971500,3,0,660948.21,563.11,41772.0992063,4744.69085224,63
36037950100,0,0,283723.02,241.71,41433.1315789,3557.08314994,19
36037950200,0,0,528728.04,450.45,58159.1341667,3824.20057753,24
36037950300,0,0,258886.9,220.56,30452.3096154,3577.77771395,26
36037950400,0,0,609955.45,519.63,87895.9557692,4594.27496324,26
